"","DATA_YEAR","FIPS_CODE","BRIDGE_ID","YEAR_BUILT","YEAR_RECONSTRCUTED","AVERAGE_DAILY_TRAFFIC","YEAR_ADT","FUTURE_ADT","DECK_COND","SUPERSTRUCTURE_COND","CHANNEL_COND","CULVERT_COND","OPERATING_RATING","INVENTORY_RATING"
"1",2019,55,"00000000000F303",1932,1958,50,2016,60,"4","5","4","N",24.5,17.6
"2",2019,55,"00000000000F304",1974,1994,20,2016,23,"5","5","7","N",7.2,5
"3",2019,55,"00000000000F310",1948,1990,100,2018,117,"5","5","5","N",21.6,15.1
"4",2019,55,"00000000000F311",1979,0,150,2018,250,"5","7","6","N",31.5,23.1
"5",2019,55,"00000000000F315",1977,0,300,2018,500,"5","5","4","N",40.6,29.7
"6",2019,55,"00000000000F317",1980,2003,20,2018,25,"7","8","7","N",47.7,35.8
"7",2019,55,"00000000000F318",1980,2003,30,2018,40,"7","7","7","N",47.7,35.8
"8",2019,55,"00000000000F321",1884,0,450,2018,700,"5","8","8","N",31.2,22.9
"9",2019,55,"00000000000F323",1999,0,50,2018,70,"7","7","5","N",70.2,42.5
"10",2019,55,"00000000000F324",2006,0,50,2018,70,"7","7","5","N",53.9,42.5
"11",2019,55,"00000000000F325",1996,0,50,2018,70,"7","7","5","N",58.8,40.8
"12",2019,55,"00000000000F326",1996,0,50,2018,70,"7","7","7","N",53.9,37.6
"13",2019,55,"00000000000F328",1981,0,300,2018,400,"7","7","7","N",57.2,26.1
"14",2019,55,"00000000000F329",2000,0,100,2018,150,"7","7","7","N",57.6,35.9
"15",2019,55,"00000000000F330",2003,0,250,2018,380,"7","7","6","N",63.7,37.6
"16",2019,55,"00000000000F331",2004,0,50,2018,75,"7","7","6","N",63.7,37.6
"17",2019,55,"00000000000F905",1977,0,50,2018,70,"6","6","5","N",28.1,18.1
"18",2019,55,"00000000000F906",1977,0,70,2018,90,"7","7","7","N",32.6,17
"19",2019,55,"00000000000F916",1985,0,30,2018,50,"7","7","6","N",43.5,32.7
"20",2019,55,"00000000000F917",1981,1987,450,2018,526,"5","6","4","N",33.6,24.6
"21",2019,55,"00000000000F918",1988,0,50,2018,70,"N","N","6","7",89.8,86.2
"22",2019,55,"00000000000F919",1996,0,300,2018,400,"7","8","8","N",58.7,47.4
"23",2019,55,"00000000000F925",2005,0,214,2018,321,"7","7","7","N",78.4,37.6
"24",2019,55,"00000000000F926",2005,0,106,2018,400,"7","7","7","N",63.7,37.6
"25",2019,55,"00000000000F927",2005,0,106,2018,400,"7","7","8","N",63.7,37.6
"26",2019,55,"00000000000F928",2006,0,150,2018,200,"6","8","7","N",68.5,38.4
"27",2019,55,"00000000000F929",1960,2006,350,2018,500,"7","7","6","N",61.1,37.6
"28",2019,55,"00000000000F930",2005,0,100,2018,150,"7","7","8","N",62.1,35.9
"29",2019,55,"00000000000F932",2007,0,50,2018,50,"N","7","8","N",67,44.1
"30",2019,55,"00000000000F933",2008,0,20,2018,50,"7","7","8","N",71.8,42.5
"31",2019,55,"00000000000F934",2007,0,50,2018,50,"7","7","8","N",78.4,47.4
"32",2019,55,"000032530-00062",1951,0,50,2017,50,"6","6","7","N",32.7,24.5
"33",2019,55,"000032530-00075",1993,0,0,2017,1,"7","8","7","N",49.9,36.3
"34",2019,55,"000032530-00079",1976,2005,0,2017,1,"8","6","7","N",20.9,14.5
"35",2019,55,"000032530-00080",1976,2005,0,2017,1,"8","7","6","N",0,0
"36",2019,55,"000032530-00081",1977,0,0,2017,1,"6","7","5","N",42.6,30.8
"37",2019,55,"000032530-00123",1993,0,1,2017,1,"7","7","6","N",49,34.5
"38",2019,55,"000032578-00043",1994,0,120,2017,130,"7","7","7","N",80.7,45.4
"39",2019,55,"0000F55439B0001",2012,0,90,2018,105,"N","N","7","7",45.5,32.7
"40",2019,55,"090201000001001",1997,0,20,1978,30,"8","8","8","N",81.3,62.9
"41",2019,55,"090201000001002",1967,0,360,1993,540,"6","7","7","N",25.6,19.8
"42",2019,55,"090201000001003",1973,0,360,1977,540,"6","6","6","N",19.1,14.6
"43",2019,55,"090201000001004",1991,0,60,1993,90,"7","7","8","N",40.9,30.9
"44",2019,55,"090201000001005",1973,0,20,1978,30,"7","7","7","N",25.9,20.1
"45",2019,55,"090201000001006",1975,0,80,1978,120,"7","7","8","N",43.7,33.7
"46",2019,55,"090202000001007",1953,0,20,1978,30,"6","7","5","N",35.6,27.5
"47",2019,55,"090202000001011",1951,0,20,1978,30,"5","5","6","N",15.2,11.7
"48",2019,55,"090202000001012",1953,0,20,1978,30,"5","7","7","N",16.2,12.6
"49",2019,55,"090202000001017",1951,0,20,1978,30,"7","7","8","N",36.3,21.8
"50",2019,55,"090202000001018",1988,0,20,1978,30,"7","7","8","N",24,18.5
"51",2019,55,"090202000001019",1954,0,80,2005,120,"6","7","5","N",20.7,15.9
"52",2019,55,"090202000001021",1975,0,20,1978,30,"7","7","8","N",35,26.9
"53",2019,55,"090202000001024",1956,0,20,1978,30,"6","7","6","N",62.7,37.2
"54",2019,55,"090202000001027",1952,0,20,1978,30,"7","7","8","N",NA,NA
"55",2019,55,"090203000001028",1985,0,50,1983,75,"6","7","8","N",67.2,40
"56",2019,55,"090203000001029",1980,0,50,1983,75,"6","6","6","N",29.8,23
"57",2019,55,"090203000001030",1990,0,50,1983,75,"7","7","6","N",35.3,27.2
"58",2019,55,"090203000001032",1969,0,50,1983,75,"6","7","7","N",29.8,23
"59",2019,55,"090203000001033",1999,0,80,1983,120,"7","7","8","N",32.7,25.3
"60",2019,55,"090203000001034",1955,0,80,1983,120,"6","6","5","N",22.4,17.2
"61",2019,55,"090203000001035",1953,0,30,1983,45,"6","6","7","N",30.9,22.7
"62",2019,55,"090203000001036",1955,0,50,1983,75,"7","7","7","N",31.8,22.7
"63",2019,55,"090204000001009",1985,0,20,1978,30,"7","7","8","N",41.8,26.3
"64",2019,55,"090204000001013",1952,0,40,1978,60,"6","7","7","N",20.9,12.7
"65",2019,55,"090204000001014",1996,0,2,1978,3,"7","7","7","N",75.8,58.3
"66",2019,55,"090204000001015",1993,0,20,1978,30,"7","7","6","N",42.4,32.7
"67",2019,55,"090204000001016",1937,0,20,1978,30,"7","6","7","N",79,47.2
"68",2019,55,"090204000001022",1950,0,20,1978,30,"6","6","4","N",26.3,15.4
"69",2019,55,"090204000001023",1952,0,40,1978,60,"7","7","6","N",29.1,17.3
"70",2019,55,"090204000001026",1997,0,40,1978,60,"7","8","8","N",58.1,43.6
"71",2019,55,"090204000001042",1953,0,20,1978,30,"7","6","7","N",19.8,15.2
"72",2019,55,"090602000001000",1980,0,50,0,100,"7","7","7","N",25.9,20.1
"73",2019,55,"090602000001001",1949,1984,50,0,100,"7","7","4","N",37.2,22.7
"74",2019,55,"090602000001002",1984,0,50,0,100,"7","7","8","N",NA,NA
"75",2019,55,"090602000001012",1982,0,50,0,100,"7","7","8","N",27.2,16.3
"76",2019,55,"090602000001015",1980,0,50,0,100,"6","6","8","N",NA,NA
"77",2019,55,"090602000001016",1982,0,50,0,100,"7","7","7","N",NA,NA
"78",2019,55,"090602000001020",1958,1985,50,0,100,"7","7","8","N",77.2,46.3
"79",2019,55,"090602000001021",1963,0,50,0,100,"6","7","7","N",40.8,31.8
"80",2019,55,"090603000001004",1949,1991,50,0,100,"7","7","7","N",43.4,33.4
"81",2019,55,"090604000001005",1982,0,50,0,100,"7","7","8","N",NA,NA
"82",2019,55,"090604000001006",1964,1984,50,0,100,"7","7","7","N",NA,NA
