"","Name","Designation","Department","Qualification"
"1","AARLI,LISA","Lecturer","Counseling Psychology","EDM 2000 Univ of Wisconsin-Madison"
"2","ABBOTT,DANIEL E","Assoc Professor (CHS)","Surgery","MD 2016 University of Washington"
"3","ABBOTT,DAVID H.","Professor","Obstetrics &amp; Gynecology","PHD 1979 University of Edinburgh"
"4","ABBOTT,NICHOLAS","Professor","Chemical &amp; Biological Engr","PHD 1991 Massachusetts Inst Of Tech"
"5","ABD-ELSAYED,ALAA A","Asst Professor (CHS)","Anesthesiology","MD 2000 "
"6","ABDUALLAH,FAISAL","Associate Professor","Art","PHD 2012 Royal College of Art"
"7","ABRAHAM,OLUFUNMILOLA","Assistant Professor","Pharmacy","PHD 2013 Univ of Wisconsin-Madison"
"8","ABRAMS,SAMANTHA","Assoc Lecturer","Information School","MA 2017 Univ of Wisconsin-Madison"
"9","ABRAMSON,LYN","Professor","Psychology","PHD 1978 University of Pennsylvania"
"10","ACKER,LINDSAY","Lecturer","Accting &amp; Info Sys","MACC 2005 Univ of Wisconsin-Madison"
"11","ACKERMAN,STEVEN","Professor","Atmospheric &amp; Oceanic Sciences","PHD 1987 Colorado State University"
"12","ADAMCZYK,PETER GABRIEL","Assistant Professor","Mechanical Engineering","PHD 2008 Univ of Michigan at Ann Arbor"
"13","ADAMS,AERON","Clinical Asst Prof","Nursing","DNP 2017 Univ of Wisconsin-Madison"
"14","ADAMS,MEGAN","Asst Faculty Assoc","Information School","MA  University of South Florida"
"15","ADAMS,TERESA","Professor","Civil &amp; Environmental Engr","PHD 1989 Carnegie-Mellon University"
"16","ADDINGTON,REBECCA LYNN","Senior Lecturer","Psychology","PHD 1998 Univ of Wisconsin-Madison"
"17","ADDO,FENABA R.","Assistant Professor","School Of Human Ecology","PHD 2012 Ithaca College"
"18","ADELL,SANDRA","Professor","Afro-American Studies","PHD 1989 Univ of Wisconsin-Madison"
"19","ADHAMI,VAQAR","Senior Scientist","Dermatology","PHD 1998 Jamia Hamdard"
"20","ADLER,HANS","Professor","German, Nordic &amp; Slavic","PHD 1978 Ruhr Universitat Bochum"
"21","AFFI,ABOUD","Clinical Adjunct Professor","Volunteer Staff","MD 1989 University Of Aleppo"
